ID;case;format;generator matrix;class group;gd matrix;relations;relation degree;anticanonical class;degree;gorenstein index;fano index;dimension;picard rank;acr gd matrix;acr relations;hsNum;hsDenom;hs0;hs1;hs2;hs3;hs4;hs5;hs6;hs7;codim;genus
34;1;[2,2,1,0];[[-4,-2,2,1,0],[-4,-2,0,0,3],[-1,1,1,0,-1],[-1,-1,0,0,1]];[0];[[1,1,2,2,2]];[T[1]^4*T[2]^2+T[3]^2*T[4]+T[5]^3];[6];[2];6;1;1;3;1;[[1,1,1,1,1,1]];[T[5]^2-T[4]*T[6],T[1]^2*T[2]+T[3]^3+T[4]*T[6]^2];1-t^2-t^3+t^5;(1-t)^6;1;6;20;49;99;176;286;435;2;4
35;1;[2,2,1,0];[[-3,-1,2,2,0],[-3,-1,0,0,3],[1,0,1,1,-2],[1,0,0,2,-2]];[0];[[2,6,3,3,4]];[T[1]^3*T[2]+T[3]^2*T[4]^2+T[5]^3];[12];[6];6;1;1;3;1;[[1,1,1,1,1,1]];[T[4]^2-T[3]*T[5],T[2]^3+T[3]*T[5]*T[6]+T[1]*T[6]^2];1-t^2-t^3+t^5;(1-t)^6;1;6;20;49;99;176;286;435;2;4
36;1;[2,2,1,0];[[-3,-2,2,1,0],[-3,-2,0,0,3],[-1,0,1,0,-1],[1,-1,0,0,1]];[0];[[1,6,6,3,5]];[T[1]^3*T[2]^2+T[3]^2*T[4]+T[5]^3];[15];[6];6;1;1;3;1;[[1,1,1,1,1,1]];[T[5]^2-T[3]*T[6],T[4]^3+T[2]^2*T[5]+T[1]^2*T[6]];1-t^2-t^3+t^5;(1-t)^6;1;6;20;49;99;176;286;435;2;4
37;1;[2,2,1,0];[[-3,-2,2,1,0],[-3,-2,0,0,3],[-1,1,1,0,-1],[-2,0,0,0,1]];[0];[[2,3,3,6,4]];[T[1]^3*T[2]^2+T[3]^2*T[4]+T[5]^3];[12];[6];6;1;1;3;1;[[1,1,1,1,1,1]];[T[4]^2-T[3]*T[5],T[2]^3+T[1]*T[3]*T[6]+T[5]*T[6]^2];1-t^2-t^3+t^5;(1-t)^6;1;6;20;49;99;176;286;435;2;4
38;1;[2,2,1,0];[[-16,-1,2,1,0],[-16,-1,0,0,2],[-1,2,1,0,-1],[-7,-1,0,0,1]];[0];[[1,2,6,6,9]];[T[1]^16*T[2]+T[3]^2*T[4]+T[5]^2];[18];[6];6;1;1;3;1;[[1,1,1,2,1,2,1,1]];[T[7]^2-T[5]*T[8],T[6]*T[7]-T[4]*T[8],T[5]*T[7]-T[3]*T[8],T[5]*T[6]-T[4]*T[7],T[5]^2-T[3]*T[7],T[4]*T[5]-T[3]*T[6],T[1]^2*T[2]*T[8]+T[7]*T[8]^3+T[6]^2,T[1]^2*T[2]*T[7]+T[5]*T[8]^3+T[4]*T[6],T[1]^2*T[2]*T[5]+T[3]*T[8]^3+T[4]^2];1-3*t^2-t^3+3*t^4+3*t^5-t^6-3*t^7+t^9;(1-t)^6*(1-t^2)^2;1;6;20;49;99;176;286;435;4;4
39;1;[2,2,1,0];[[-12,-3,2,1,0],[-12,-3,0,0,2],[-1,2,1,0,-1],[-5,-2,0,0,1]];[0];[[1,2,6,6,9]];[T[1]^12*T[2]^3+T[3]^2*T[4]+T[5]^2];[18];[6];6;1;1;3;1;[[1,1,1,2,1,2,1,1]];[T[7]^2-T[5]*T[8],T[6]*T[7]-T[4]*T[8],T[5]*T[7]-T[3]*T[8],T[5]*T[6]-T[4]*T[7],T[5]^2-T[3]*T[7],T[4]*T[5]-T[3]*T[6],T[1]^2*T[2]*T[8]+T[3]*T[8]^3+T[6]^2,T[1]^2*T[2]*T[7]+T[3]*T[7]*T[8]^2+T[4]*T[6],T[1]^2*T[2]*T[5]+T[3]*T[5]*T[8]^2+T[4]^2];1-3*t^2-t^3+3*t^4+3*t^5-t^6-3*t^7+t^9;(1-t)^6*(1-t^2)^2;1;6;20;49;99;176;286;435;4;4
40;1;[2,2,1,0];[[-8,-5,2,1,0],[-8,-5,0,0,2],[-1,2,1,0,-1],[-3,-3,0,0,1]];[0];[[1,2,6,6,9]];[T[1]^8*T[2]^5+T[3]^2*T[4]+T[5]^2];[18];[6];6;1;1;3;1;[[1,1,1,2,1,2,1,1]];[T[7]^2-T[5]*T[8],T[6]*T[7]-T[4]*T[8],T[5]*T[7]-T[3]*T[8],T[5]*T[6]-T[4]*T[7],T[5]^2-T[3]*T[7],T[4]*T[5]-T[3]*T[6],T[1]^2*T[2]*T[8]+T[3]*T[5]*T[8]^2+T[6]^2,T[1]^2*T[2]*T[7]+T[3]^2*T[8]^2+T[4]*T[6],T[1]^2*T[2]*T[5]+T[3]^2*T[7]*T[8]+T[4]^2];1-3*t^2-t^3+3*t^4+3*t^5-t^6-3*t^7+t^9;(1-t)^6*(1-t^2)^2;1;6;20;49;99;176;286;435;4;4
41;1;[2,2,1,0];[[-7,-4,2,1,0],[-7,-4,0,0,2],[-1,5,1,0,-1],[-3,-3,0,0,1]];[0];[[2,1,6,6,9]];[T[1]^7*T[2]^4+T[3]^2*T[4]+T[5]^2];[18];[6];6;1;1;3;1;[[1,1,1,2,1,2,1,1]];[T[7]^2-T[5]*T[8],T[6]*T[7]-T[4]*T[8],T[5]*T[7]-T[3]*T[8],T[5]*T[6]-T[4]*T[7],T[5]^2-T[3]*T[7],T[4]*T[5]-T[3]*T[6],T[1]^2*T[2]*T[8]+T[3]^2*T[7]*T[8]+T[6]^2,T[1]^2*T[2]*T[7]+T[3]^2*T[5]*T[8]+T[4]*T[6],T[1]^2*T[2]*T[5]+T[3]^3*T[8]+T[4]^2];1-3*t^2-t^3+3*t^4+3*t^5-t^6-3*t^7+t^9;(1-t)^6*(1-t^2)^2;1;6;20;49;99;176;286;435;4;4
42;1;[2,2,1,0];[[-4,-1,2,1,0],[-4,-1,0,0,2],[-1,2,1,0,-1],[-1,-2,0,0,1]];[0];[[3,2,6,2,7]];[T[1]^4*T[2]+T[3]^2*T[4]+T[5]^2];[14];[6];6;1;1;3;1;[[1,1,1,1,1,1,2,2]];[T[6]*T[7]-T[5]*T[8],T[5]*T[7]-T[4]*T[8],T[4]*T[7]-T[3]*T[8],T[5]^2-T[4]*T[6],T[4]*T[5]-T[3]*T[6],T[4]^2-T[3]*T[5],T[1]^2*T[2]*T[5]+T[2]^3*T[6]+T[8]^2,T[1]^2*T[2]*T[4]+T[2]^3*T[5]+T[7]*T[8],T[1]^2*T[2]*T[3]+T[2]^3*T[4]+T[7]^2];1-3*t^2-t^3+3*t^4+3*t^5-t^6-3*t^7+t^9;(1-t)^6*(1-t^2)^2;1;6;20;49;99;176;286;435;4;4
43;6;[2,1,1,1];[[-5,-1,3,0,0],[-5,-1,0,2,0],[-4,0,0,1,1],[1,0,-2,1,0]];[0];[[1,1,2,3,1]];[T[1]^5*T[2]+T[3]^3+T[4]^2];[6];[2];8;1;2;3;1;[[1,1,2,1,1,2,2,1,1,1]];[T[9]^2-T[8]*T[10],T[7]*T[9]-T[6]*T[10],T[5]*T[9]-T[4]*T[10],T[7]*T[8]-T[6]*T[9],T[5]*T[8]-T[4]*T[9],T[5]*T[7]-T[3]*T[10],T[4]*T[7]-T[3]*T[9],T[5]*T[6]-T[3]*T[9],T[4]*T[6]-T[3]*T[8],T[5]^2-T[2]*T[10],T[4]*T[5]-T[2]*T[9],T[3]*T[5]-T[2]*T[7],T[4]^2-T[2]*T[8],T[3]*T[4]-T[2]*T[6],T[1]^3*T[10]+T[5]*T[10]^3+T[7]^2,T[1]^3*T[9]+T[4]*T[10]^3+T[6]*T[7],T[1]^3*T[8]+T[4]*T[9]*T[10]^2+T[6]^2,T[1]^3*T[5]+T[2]*T[10]^3+T[3]*T[7],T[1]^3*T[4]+T[2]*T[9]*T[10]^2+T[3]*T[6],T[1]^3*T[2]+T[2]*T[5]*T[10]^2+T[3]^2];1-6*t^2+15*t^4-20*t^6+15*t^8-6*t^10+t^12;(1-t)^7*(1-t^2)^3;1;7;25;63;129;231;377;575;6;5
